Num,Plant Name,XCoordinates,YCoordinates,Capacity,unit
1,Rivne Nuclear Power Plant,51.329581702201146, 25.893944568187816,2835,MW
2,Dtek Burshtynsʹka Tes,49.20820553953031, 24.666645555471284,2400,MW
3,Dnister Pumped Storage Hydroelectric Power Plant,48.512908407001774, 27.472270740101298,972,MW
4,Ladyzhynsʹka Tes,48.70704588147054, 29.220160997779924,1800,MW
5,Khmelnitsky NPP,50.302710612361764, 26.652174469011044,2000,MW
6,Офис ЗАО «Молдавская ГРЭС»,46.62424495144343, 29.940757011189532,2520,MW
7,South Ukraine Nuclear Power Plant,47.81069413321303, 31.220078426578585,3000,MW
8,Trypilʹsʹka Tes,50.135479202485556, 30.750429097839326,1800,MW
9,Dtek Dniproenerho Kryvorizʹka Tes,47.54437556027335, 33.657988799579705,2820,MW
10,Zaporizhzhya NPP,47.50689331047885, 34.58506616889547,6000,MW
11,Zaporizhia TPP,47.506884857881595, 34.632724982389625,3650,MW
12,Dnipro Hydroelectric Power Plant 1569MW,47.8725950971129, 35.07729548240439,1569,MW
13,Prydniprovska TES,48.40367000026235, 35.1180774977674,1765,MW
14,Kurskaya Atomnaya Stantsiya,51.67536919958695, 35.60413419358569,4000,MW
15,Zmiivska TPP,49.58660218877144, 36.524324940145604,2200,MW
16,Slovianska heat power station,48.87180045770992, 37.76479845545735,880,MW
17,Kurakhove Power Station,47.99451667341064, 37.244971282409324,1527,MW
18,Starobeshevsʹka Tes,47.799275858426, 38.0046809112368,2010,MW
19,Zuivska power station 1,48.033315615270105, 38.28879254008166,1245,MW
20,Vuhlehirsʹka Tes,48.46330539379486, 38.20254341126381,1200,MW
21,Luhansʹka Tes,48.74886798550529, 39.2609205554523,1220,MW
22,Novotsjerkassk kraftverk,47.40150265040566, 40.23147921122069,2258,MW
23,Volga Hydroelectric Station,48.82630875105679, 44.67191181127874,2671,MW
24,Dobrotvorsk power plant,50.45026393726114, 30.52339999785257,500,MW
25,TETs-6,50.529907761540265, 30.66531808436196,750,MW
26,TETs-5,50.396992813597805, 30.567752772684482,700,MW
27,Kyiv1,50.61151688612808, 30.489995440188768,235.5,MW
28,Kyiv2,50.5885365156733, 30.512311269023108,440,MW
29,Kyiv3,50.529880481306265, 30.665285897855977,750,MW
30,Kyiv4,50.48080148577554, 30.511217455524484,465,MW
31,Kyiv5,50.447121596842415, 30.642522713344594,160,MW
32,Kyiv6,50.39369129101362, 30.569243478532826,700,MW
33,Dobrotvorsk power plant,50.450311758175026, 30.523421455523227,500,MW
34,Kharkiv1,49.9724246828349, 36.1097103098993,540,MW
35,Eskhar,49.796167888742865, 36.601422520375635,150,MW
36,Kremenchuk Hydroelectric Power Plant,49.074097822479196, 33.25163482847771,633,MW
37,Kremenchutsʹka Tets,49.170964893816546, 33.44732781129302,255,MW
38,Cherkaska TETS,49.39305515577738, 32.070702487410635,230,MW
39,Kaniv Hydroelectric Power Plant ,49.764181212359254, 31.469646384329724,444,MW
40,Kamianske Hydroelectric Power Plant 1,48.54626104318247, 34.54037859777326,352,MW
41,Kamianske Hydroelectric Power Plant 2,48.53625113769802, 34.55155257939833,246.4,MW
42,Dnipro Solar Power Plant,48.36481799457253, 35.182010310208156,11.2,MW
43,Nikopol Solar Power Plant,47.68645831986399, 34.260701955408784,246.154,MW
44,Kakhovka Hydroelectric Power Plant,46.77630980838929, 33.3717977688663,351,MW
45,Odesa Power Plant,46.500838722519646, 30.721843524678576,68,MW
46,Mykolaiv Central Heating and Power Plant,46.951035973243194, 31.986443668873196,40,MW
47,Tashlyk Pumped Storage Power Plant,47.796472353948204, 31.180926555413233,302,MW
48,Oleksandrivsʹka Hes,47.70294246172073, 31.253426710964867,10.5,MW
49,Voznesensk Solar Station,47.57225237259401, 31.397288192171043,29.3,MW
50,Teploenerhetyk,48.52938589497065, 32.24550352660795,15,MW
51,Rostovskaya Tets-2,47.217119710173, 39.58018926888396,200,MW
52,Zuivska power station 2,48.02130076299302, 38.25700355775514,12,MW
53,Botiyevska wind power,46.62838720132174, 35.736123239743655,200,MW
54,Simferopol Power Station 1,44.945504829897565, 34.22187011482074,470,MW
55,Simferopol Power Station 2,45.02119809512358, 34.03541221746875,100,MW
56,Simferopol Power Station 3,44.956752498969166, 33.931586153453345,105.6,MW
57,Sakskaya Tets,45.13644415129362, 33.55138179763694,149.4,MW
58,Ohotnikovo Solar Station,45.287112535604145, 33.59958148264675,82.65,MW
59,"Solnechnaya elektrostantsiya ""Mityaevo""",45.238113641139726, 33.673528681561386,31.55,MW
60,Sevastopol Power Station,44.555468609630196, 33.60120798283302,470,MW
61,Vladyslavivka Solar Power Plant,45.148608183741445, 35.41965700465501,110,MW
62,"Smolenskaya Aes, Filial Oao ""Kontsern ""Rosenergoatom""",54.16593994540341, 33.23330459801375,3000,MW
63,Minsk 4 power station,53.87294011750237, 27.40071724033013,1035,MW
64,CHP-3 Power Station,53.87930504252916, 27.647836455671687,542,MW
65,Minskaya Tets-5 ,53.61126997517642, 27.947417782647886,720,MW
66,Mozyrskaja Tyec Filial Rup Gomel'Yenergo,51.906186420754956, 29.313329482573533,205,MW
67,Svetlogorskaya Tets,52.62636218043605, 29.76992534027541,155,MW
68,Chernihiv power plants,51.45736626701229, 31.258265482554233,210,MW
69,Sumy Power Plant,50.931323936362986, 34.818603079118695,40,MW
